fecha,US_2Y,Tesoros 3 Y,Tesoros 5 Y,Tesoros 7 Y,US_10Y,Tesoros 30 Y,US_Tips_5Y,US_Tips_7Y,US_Tips_10Y,US_Tips_20Y,US_Tips_30Y,German_10Y,German_2Y,Colombia 10 Y,Colombia 1 Y,Deuda Internacional D Soberanos,Deuda Internacional D Crédito,D Intl Soberanos,D Intl Credito,Acciones Colombia,US_SP_500,Euro_Stoxx_50,Acciones Intl Asia,Global,Acciones Emergentes,MEX CDS USD SR 5Y D14 Corp,BRAZIL CDS USD SR 5Y D14 Corp,COLOM CDS USD SR 5Y D14 Corp,CHILE CDS USD SR 5Y D14 Corp,Wti,LACI Index,CLP REGN Curncy,Pen Curncy,Dxy,Euro,Cad,NOK,RUB,Mxn Curncy,BRL Curncy,VIX Index,Emerging Markets Currency,Gold,Italy_10Y,Italy_2Y,France_10Y,France_2Y,US Federal Funds Effective Rat,US Generic Govt 1 Month Yield,US_3M,US Generic Govt 6 Month Yield,US Generic Govt 12 Month Yield,US Generic Govt 2 Year Yield,Usd_Libor_3M,German_3M,GERMAN TREASURY BILL 6M,German Government Bills 1 Yr,FTSE_MIB,expectativa,Liquidez_Local
09/04/21,0.159,0.336,0.866,1.325,1.662,2.336,-1.64,-1.09,-0.64,-0.11,0.14,-0.297,-0.703,6.1,2.389,26.27,130.79,109.58,51.97,1322,4122,47.93,93.25,69,53.55,104.9,218.3,149.16,67.03,59.34,42.77,710.45,3.6128,92.183,1.19016,1.25254,8.4883,77.35,20.1524,5.6821,16.69,1700,1743.74,0.73,-0.363,-0.04,-0.666,0.25,0.013,0.015,0.038,0.061,0.159,0.18775,-0.65,-0.651,-0.655,24428,false,[NULL]
10/04/21,0.159,0.336,0.866,1.325,1.662,2.336,-1.64,-1.09,-0.64,-0.11,0.14,-0.297,-0.703,6.1,2.389,26.27,130.79,109.58,51.97,"1,322","4,122",47.93,93.25,69,53.55,104.9,218.3,149.16,67.03,59.34,42.77,710.45,3.6128,92.183,1.19016,1.25254,8.4883,77.35,20.1524,5.6821,16.69,"1,700","1,743.74",0.73,-0.363,-0.04,-0.666,0.25,0.013,0.015,0.038,0.061,0.159,0.18775,-0.65,-0.651,-0.655,"24,428",false,[NULL]
11/04/21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,[NULL]
